user_id,partner_id,signup_days,age_group,kyc_status,uses_payments,uses_lending,uses_investing,uses_insurance,product_count,logins_30d,txn_count_30d,txn_volume_30d,support_tickets_30d,feature_clicks_30d,days_since_last_login,days_since_last_txn,recency,frequency,monetary,lifecycle_stage,churned,days_to_churn
U000070,PAY_CORP,399,18-24,verified,1,1,0,0,2,22,2,6424.76,2,41,65,92,92,2,6424.76,Churned,0,374
U000071,LEND_NOW,679,45-54,verified,0,0,0,1,1,5,45,7297.13,0,66,14,117,117,45,7297.13,Active,0,527
U000072,WALLET_GO,270,18-24,verified,1,1,0,1,3,24,27,4898.49,5,74,5,20,20,27,4898.49,Champion,0,224
U000073,PAY_CORP,648,35-44,verified,1,0,0,0,1,6,28,1926.26,5,73,85,88,88,28,1926.26,Churned,0,614
U000074,PAY_CORP,677,35-44,verified,1,1,1,1,4,32,31,3704.31,2,66,59,92,92,31,3704.31,Dormant,0,385
U000075,PAY_CORP,459,35-44,verified,1,0,1,0,2,34,20,752.33,3,30,7,60,60,20,752.33,Champion,0,285
U000076,PAY_CORP,516,35-44,verified,1,1,0,0,2,43,7,6161.99,1,60,52,76,76,7,6161.99,Dormant,0,625
U000077,INVEST_X,390,35-44,verified,1,1,0,0,2,9,17,2527.58,5,54,70,25,25,17,2527.58,Churned,0,365
U000078,INVEST_X,248,35-44,pending,1,0,1,0,2,3,32,3536.93,5,104,61,86,86,32,3536.93,Churned,0,711
U000079,WALLET_GO,400,18-24,verified,1,1,0,0,2,17,50,8174.82,5,78,59,37,37,50,8174.82,Dormant,0,614
U000080,INVEST_X,694,25-34,verified,1,0,0,1,2,32,26,4423.12,1,53,83,119,119,26,4423.12,Churned,0,488
U000081,LEND_NOW,40,35-44,verified,1,0,0,0,1,19,12,7672.2,2,108,32,74,74,12,7672.2,Dormant,0,196
U000082,WALLET_GO,171,25-34,verified,1,0,1,0,2,9,16,3037.69,2,84,50,3,3,16,3037.69,Dormant,0,677
U000083,PAY_CORP,374,45-54,pending,1,1,0,1,3,3,27,758.75,3,10,67,112,112,27,758.75,Churned,0,350
U000084,PAY_CORP,264,25-34,verified,1,0,0,0,1,7,54,2145.34,1,2,33,31,31,54,2145.34,Dormant,1,11
U000085,PAY_CORP,460,45-54,pending,1,0,1,0,2,38,25,4057.49,4,107,28,56,56,25,4057.49,Champion,0,549
U000086,WALLET_GO,278,18-24,verified,1,0,1,0,2,36,15,6279.31,2,61,46,92,92,15,6279.31,Dormant,0,487
U000087,LEND_NOW,484,45-54,failed,1,0,0,0,1,38,28,2925.19,1,16,0,59,59,28,2925.19,Champion,0,230
U000088,PAY_CORP,103,25-34,verified,1,0,0,0,1,23,54,2581.31,2,15,17,54,54,54,2581.31,Champion,0,465
U000089,LEND_NOW,259,35-44,verified,1,0,1,0,2,0,40,6479.22,0,59,25,63,63,40,6479.22,At-Risk,0,621
U000090,PAY_CORP,508,25-34,verified,1,1,0,0,2,30,43,688.35,0,47,19,41,41,43,688.35,Champion,0,539
U000091,INVEST_X,355,35-44,verified,1,0,0,1,2,26,53,8684.74,5,105,75,98,98,53,8684.74,Churned,0,604
U000092,LEND_NOW,522,25-34,verified,1,0,0,1,2,28,1,6719.36,2,64,37,69,69,1,6719.36,Dormant,0,605
U000093,LEND_NOW,469,45-54,verified,1,0,1,0,2,26,9,704.62,3,110,27,78,78,9,704.62,Active,0,223
U000094,LEND_NOW,256,35-44,pending,1,0,0,0,1,11,13,888.57,1,23,85,110,110,13,888.57,Churned,1,66
U000095,INVEST_X,325,55+,pending,1,1,0,0,2,28,42,1055.71,5,94,29,60,60,42,1055.71,Champion,0,460
U000096,LEND_NOW,695,35-44,verified,1,1,0,0,2,42,12,639.3,2,8,38,3,3,12,639.3,Dormant,0,713
U000097,PAY_CORP,693,35-44,verified,1,1,0,0,2,11,8,517.5,4,11,40,73,73,8,517.5,Dormant,0,593
U000098,PAY_CORP,54,45-54,verified,1,0,1,0,2,11,25,2958.87,0,18,79,27,27,25,2958.87,Churned,0,487
U000099,INSURE_IT,516,25-34,pending,1,0,1,0,2,7,0,9572.05,1,37,44,18,18,0,9572.05,Dormant,1,166
U000100,INSURE_IT,368,35-44,verified,1,1,0,0,2,28,52,3079.16,4,46,58,117,117,52,3079.16,Dormant,0,274
U000101,INVEST_X,30,25-34,verified,1,0,0,0,1,3,0,2234.41,1,23,8,3,3,0,2234.41,Onboarding,0,532
U000102,PAY_CORP,467,45-54,verified,1,1,0,0,2,27,9,394.28,1,6,2,85,85,9,394.28,Active,0,458
U000103,INSURE_IT,46,18-24,verified,0,0,0,0,0,32,53,2640.93,2,62,76,40,40,53,2640.93,Churned,0,209
U000104,WALLET_GO,249,25-34,verified,1,1,0,1,3,13,59,742.42,0,10,64,105,105,59,742.42,Churned,0,601
U000105,WALLET_GO,506,35-44,verified,1,1,0,1,3,22,50,133.68,1,46,16,117,117,50,133.68,Champion,0,673
U000106,LEND_NOW,590,25-34,pending,1,0,1,0,2,11,29,2619.72,4,37,6,14,14,29,2619.72,Active,0,471
U000107,PAY_CORP,314,25-34,failed,1,1,1,0,3,27,19,3156.29,2,110,28,78,78,19,3156.29,Champion,0,456
U000108,PAY_CORP,588,25-34,verified,1,0,0,0,1,8,55,12713.28,0,13,30,12,12,55,12713.28,Dormant,0,198
U000109,INSURE_IT,609,45-54,verified,1,0,1,0,2,25,38,3049.58,1,28,36,10,10,38,3049.58,Dormant,0,585
U000110,LEND_NOW,338,25-34,pending,1,0,0,0,1,25,2,2348.43,4,113,14,91,91,2,2348.43,Active,0,385
U000111,PAY_CORP,149,25-34,verified,1,1,1,0,3,29,8,5120.97,5,101,14,62,62,8,5120.97,Active,0,542
U000112,LEND_NOW,484,55+,verified,1,1,0,0,2,40,53,5085.41,0,100,25,44,44,53,5085.41,Champion,0,547
U000113,INVEST_X,39,55+,verified,1,0,0,1,2,31,45,3525.52,4,42,72,16,16,45,3525.52,Churned,0,229
U000114,PAY_CORP,646,18-24,verified,1,1,1,0,3,12,4,1734.54,4,48,35,65,65,4,1734.54,Dormant,0,627
U000115,WALLET_GO,297,35-44,verified,0,0,1,0,1,9,59,580.44,1,104,46,84,84,59,580.44,Dormant,0,656
U000116,WALLET_GO,554,18-24,verified,1,0,0,0,1,19,34,7094.69,3,19,35,112,112,34,7094.69,Dormant,0,319
U000117,WALLET_GO,537,55+,verified,1,1,0,0,2,30,56,1522.49,3,30,56,69,69,56,1522.49,Dormant,0,716
U000118,LEND_NOW,356,25-34,verified,1,0,0,1,2,17,57,1736.08,5,18,28,113,113,57,1736.08,Champion,0,266
U000119,INVEST_X,700,25-34,verified,1,0,0,0,1,12,38,1013.9,5,50,33,81,81,38,1013.9,Dormant,1,89
U000120,INVEST_X,579,25-34,verified,1,0,1,0,2,31,3,7863.83,3,16,86,50,50,3,7863.83,Churned,0,232
U000121,INVEST_X,639,35-44,pending,0,0,0,0,0,1,26,979.62,0,46,72,90,90,26,979.62,Churned,0,277
U000122,PAY_CORP,94,18-24,pending,1,0,0,0,1,37,53,693.19,4,47,74,65,65,53,693.19,Churned,0,611
U000123,LEND_NOW,364,45-54,pending,1,1,0,0,2,36,21,11066.76,4,91,40,49,49,21,11066.76,Dormant,0,376
U000124,PAY_CORP,686,25-34,pending,1,0,0,0,1,4,18,809.4,3,33,20,7,7,18,809.4,Active,0,503
U000125,LEND_NOW,590,35-44,verified,1,0,0,0,1,33,16,1622.61,1,74,87,30,30,16,1622.61,Churned,0,453
U000126,LEND_NOW,343,45-54,verified,1,0,0,0,1,24,40,4003.94,4,69,56,54,54,40,4003.94,Dormant,0,222
U000127,PAY_CORP,78,25-34,verified,1,0,1,0,2,33,5,13640.13,2,113,80,9,9,5,13640.13,Churned,0,514
U000128,PAY_CORP,224,18-24,verified,1,1,1,0,3,34,26,4987.15,4,40,88,83,83,26,4987.15,Churned,0,705
U000129,INVEST_X,424,25-34,pending,1,0,1,0,2,16,12,4415.51,3,19,48,112,112,12,4415.51,Dormant,1,150
U000130,PAY_CORP,472,45-54,verified,1,0,0,0,1,36,53,4415.62,2,11,15,100,100,53,4415.62,Champion,0,468
U000131,INSURE_IT,667,18-24,failed,1,1,1,0,3,34,33,1631.41,4,119,73,1,1,33,1631.41,Churned,0,482
U000132,INVEST_X,94,45-54,verified,1,0,0,0,1,31,16,2204.52,2,37,1,67,67,16,2204.52,Champion,0,704
U000133,LEND_NOW,303,35-44,verified,1,1,0,0,2,13,16,636.42,1,10,3,88,88,16,636.42,Active,0,241
U000134,INVEST_X,217,35-44,pending,1,0,0,1,2,10,44,10535.44,5,18,47,80,80,44,10535.44,Dormant,1,19
U000135,PAY_CORP,692,35-44,verified,1,1,0,0,2,13,43,6058.47,5,64,73,108,108,43,6058.47,Churned,0,493
U000136,INSURE_IT,144,18-24,pending,1,0,1,0,2,14,52,10463.55,0,63,41,67,67,52,10463.55,Dormant,0,497
U000137,LEND_NOW,182,25-34,pending,1,1,1,0,3,16,46,2282.07,2,24,6,58,58,46,2282.07,Champion,0,390
U000138,WALLET_GO,235,45-54,pending,0,0,0,0,0,34,9,3639.85,4,63,55,118,118,9,3639.85,Dormant,1,92
U000139,PAY_CORP,102,25-34,pending,1,0,1,0,2,32,28,657.77,1,57,29,1,1,28,657.77,Champion,0,203
U000140,LEND_NOW,473,35-44,verified,1,0,0,0,1,15,0,254.05,0,17,1,84,84,0,254.05,Active,0,458
U000141,LEND_NOW,392,55+,verified,1,0,1,0,2,11,54,8328.19,1,91,34,81,81,54,8328.19,Dormant,0,281
U000142,INSURE_IT,414,18-24,pending,0,0,0,0,0,32,45,786.7,5,8,13,15,15,45,786.7,Champion,0,474
U000143,INVEST_X,656,25-34,verified,1,1,0,0,2,3,48,6555.44,1,57,3,27,27,48,6555.44,Active,0,395
U000144,LEND_NOW,328,25-34,verified,1,0,0,0,1,25,43,603.08,0,77,26,101,101,43,603.08,Champion,0,572
U000145,PAY_CORP,244,18-24,verified,1,0,0,0,1,11,4,107.16,1,102,36,35,35,4,107.16,Dormant,0,314
U000146,LEND_NOW,289,55+,verified,1,0,1,0,2,26,40,4743.71,1,28,73,48,48,40,4743.71,Churned,0,484
U000147,INVEST_X,582,55+,verified,1,0,0,0,1,20,48,4389.01,4,84,41,66,66,48,4389.01,Dormant,0,607
U000148,LEND_NOW,394,25-34,failed,1,0,0,0,1,3,38,1019.5,0,66,78,42,42,38,1019.5,Churned,1,48
U000149,PAY_CORP,146,55+,verified,1,1,0,0,2,14,49,6.19,2,61,68,19,19,49,6.19,Churned,1,166
U000150,WALLET_GO,505,18-24,verified,1,0,0,0,1,22,35,5497.61,4,88,73,11,11,35,5497.61,Churned,1,91
U000151,WALLET_GO,544,55+,verified,1,0,0,0,1,32,20,465.81,1,113,19,40,40,20,465.81,Champion,0,320
U000152,PAY_CORP,202,45-54,verified,0,1,1,0,2,41,24,418.15,2,67,46,40,40,24,418.15,Dormant,0,258
U000153,INVEST_X,414,25-34,verified,1,0,1,0,2,3,29,8715.78,0,97,14,79,79,29,8715.78,Active,0,331
U000154,PAY_CORP,418,35-44,verified,1,0,0,0,1,31,17,4477.6,5,90,80,93,93,17,4477.6,Churned,1,36
U000155,INVEST_X,150,45-54,verified,1,0,0,0,1,29,4,3434.96,3,114,69,83,83,4,3434.96,Churned,1,37
U000156,PAY_CORP,36,25-34,verified,1,1,0,0,2,0,29,1666.0,3,89,88,8,8,29,1666.0,Churned,0,397
U000157,INVEST_X,525,25-34,verified,1,0,1,0,2,14,15,1293.74,2,64,6,108,108,15,1293.74,Active,0,376
U000158,WALLET_GO,454,35-44,verified,1,1,0,1,3,6,30,9499.97,1,63,16,57,57,30,9499.97,Active,0,467
U000159,WALLET_GO,522,18-24,pending,0,1,1,0,2,8,57,1560.44,4,112,55,79,79,57,1560.44,Dormant,1,34
U000160,PAY_CORP,290,18-24,pending,1,0,1,0,2,14,40,1110.96,1,5,37,79,79,40,1110.96,Dormant,1,25
U000161,INSURE_IT,385,25-34,pending,0,0,0,0,0,10,55,1930.88,0,17,40,8,8,55,1930.88,Dormant,1,38
U000162,PAY_CORP,707,45-54,pending,1,0,1,0,2,27,49,248.41,1,46,66,62,62,49,248.41,Churned,0,637
U000163,PAY_CORP,185,25-34,verified,1,0,0,0,1,8,40,2873.16,3,112,53,13,13,40,2873.16,Dormant,0,363
U000164,INVEST_X,480,35-44,pending,1,1,0,0,2,6,8,1796.96,2,114,13,117,117,8,1796.96,Active,0,313
U000165,LEND_NOW,121,25-34,verified,1,0,0,0,1,38,1,22757.92,0,61,76,94,94,1,22757.92,Churned,0,521
U000166,WALLET_GO,75,25-34,pending,1,1,1,0,3,23,9,845.31,0,85,59,92,92,9,845.31,Dormant,1,111
U000167,WALLET_GO,690,35-44,verified,1,1,1,0,3,13,1,2723.76,0,0,67,65,65,1,2723.76,Churned,0,596
U000168,LEND_NOW,119,18-24,verified,1,1,0,0,2,37,29,2587.12,5,22,73,116,116,29,2587.12,Churned,0,446
U000169,INSURE_IT,482,35-44,verified,1,0,0,0,1,36,35,3449.21,5,97,22,17,17,35,3449.21,Champion,0,227
U000170,PAY_CORP,384,25-34,verified,1,0,1,0,2,0,33,2897.73,3,82,30,82,82,33,2897.73,Dormant,0,586
U000171,LEND_NOW,588,35-44,verified,1,0,0,0,1,13,13,37.49,4,107,68,72,72,13,37.49,Churned,0,490
U000172,PAY_CORP,407,25-34,verified,0,0,0,0,0,24,25,1427.22,4,102,75,17,17,25,1427.22,Churned,0,321
U000173,INSURE_IT,510,45-54,failed,1,1,1,0,3,0,39,5888.72,3,67,21,27,27,39,5888.72,At-Risk,0,611
U000174,PAY_CORP,646,18-24,verified,1,1,0,1,3,30,17,1477.19,4,115,20,70,70,17,1477.19,Champion,0,253
U000175,PAY_CORP,602,45-54,verified,1,0,0,0,1,0,5,2349.08,0,53,0,7,7,5,2349.08,At-Risk,0,577
U000176,LEND_NOW,528,25-34,verified,1,0,0,0,1,44,9,17174.76,0,73,63,76,76,9,17174.76,Churned,0,672
U000177,INSURE_IT,142,18-24,verified,1,0,0,0,1,16,59,2097.77,0,105,26,32,32,59,2097.77,Champion,0,690
U000178,WALLET_GO,146,35-44,verified,1,1,1,1,4,24,12,612.71,5,92,20,18,18,12,612.71,Champion,0,649
U000179,WALLET_GO,372,25-34,verified,1,0,0,0,1,38,6,455.28,1,6,5,36,36,6,455.28,Active,0,295
U000180,WALLET_GO,484,25-34,verified,1,0,1,1,3,24,50,1201.95,0,116,43,90,90,50,1201.95,Dormant,0,577
U000181,WALLET_GO,490,45-54,verified,0,0,0,0,0,26,20,1699.84,2,101,82,54,54,20,1699.84,Churned,0,426
U000182,LEND_NOW,572,45-54,verified,1,1,0,0,2,43,57,3795.38,0,85,66,17,17,57,3795.38,Churned,0,640
U000183,LEND_NOW,101,35-44,verified,1,1,0,0,2,30,5,2034.48,0,84,7,114,114,5,2034.48,Active,0,460
U000184,WALLET_GO,149,55+,pending,0,0,0,0,0,18,3,390.56,0,19,5,103,103,3,390.56,Active,0,356
U000185,INVEST_X,133,25-34,pending,1,1,0,0,2,18,23,2117.55,2,72,0,63,63,23,2117.55,Champion,0,262
U000186,LEND_NOW,403,18-24,verified,1,0,0,0,1,29,54,1040.38,1,4,17,37,37,54,1040.38,Champion,0,343
U000187,PAY_CORP,467,45-54,verified,1,0,1,0,2,12,20,2422.16,1,70,61,117,117,20,2422.16,Churned,1,25
U000188,WALLET_GO,109,25-34,failed,1,0,0,1,2,0,43,4626.44,5,67,12,65,65,43,4626.44,At-Risk,0,680
U000189,PAY_CORP,629,18-24,verified,1,1,1,0,3,28,38,1500.42,5,33,62,57,57,38,1500.42,Churned,0,564
U000190,INSURE_IT,239,18-24,verified,1,0,1,0,2,29,4,1649.56,0,22,9,58,58,4,1649.56,Active,0,703
U000191,PAY_CORP,485,25-34,verified,1,1,0,1,3,26,51,5629.59,3,23,76,74,74,51,5629.59,Churned,0,624
U000192,PAY_CORP,548,25-34,verified,1,0,0,1,2,13,7,2347.99,1,75,9,85,85,7,2347.99,Active,0,459
U000193,WALLET_GO,54,25-34,pending,1,1,1,0,3,1,48,4802.34,3,69,76,86,86,48,4802.34,Churned,1,58
U000194,PAY_CORP,626,35-44,pending,1,1,0,0,2,8,6,1461.58,2,32,35,96,96,6,1461.58,Dormant,0,254
U000195,PAY_CORP,699,45-54,verified,1,0,0,0,1,24,43,1081.65,2,42,65,28,28,43,1081.65,Churned,0,307
U000196,INVEST_X,691,55+,verified,1,1,0,0,2,1,53,3449.84,1,59,58,80,80,53,3449.84,Dormant,1,121
U000197,WALLET_GO,126,18-24,pending,1,0,1,0,2,28,59,137.62,0,30,28,102,102,59,137.62,Champion,0,568
U000198,PAY_CORP,300,18-24,verified,0,0,0,1,1,8,40,7361.76,0,73,86,22,22,40,7361.76,Churned,0,603
U000199,LEND_NOW,190,35-44,verified,1,0,1,0,2,16,2,9960.34,2,68,56,0,0,2,9960.34,Dormant,0,195
U000200,WALLET_GO,341,18-24,verified,1,0,1,0,2,44,2,1005.09,1,53,2,0,0,2,1005.09,Active,0,603
U000201,INSURE_IT,702,25-34,pending,1,1,1,0,3,15,47,1278.26,3,65,60,85,85,47,1278.26,Churned,0,353
U000202,LEND_NOW,556,35-44,verified,0,0,1,0,1,18,27,5122.96,2,81,18,47,47,27,5122.96,Champion,0,444
U000203,PAY_CORP,562,45-54,verified,1,1,0,0,2,35,7,8550.82,5,39,49,69,69,7,8550.82,Dormant,0,631
U000204,PAY_CORP,321,25-34,pending,1,0,0,0,1,3,16,521.4,2,40,14,40,40,16,521.4,Active,0,362
U000205,PAY_CORP,676,35-44,verified,1,0,0,0,1,16,36,7947.91,5,76,30,94,94,36,7947.91,Dormant,0,594
U000206,PAY_CORP,664,35-44,verified,1,0,0,0,1,21,5,674.05,2,62,51,58,58,5,674.05,Dormant,1,175
U000207,INVEST_X,586,45-54,pending,1,1,0,0,2,12,48,10037.02,4,5,9,114,114,48,10037.02,Active,0,390
U000208,PAY_CORP,591,25-34,pending,1,1,0,0,2,44,47,897.48,3,113,57,65,65,47,897.48,Dormant,0,392
U000209,LEND_NOW,479,45-54,verified,1,0,1,0,2,35,39,1787.0,4,109,7,87,87,39,1787.0,Champion,0,283
U000210,INVEST_X,95,45-54,verified,1,0,1,0,2,2,33,1001.49,4,67,87,54,54,33,1001.49,Churned,0,621
U000211,INVEST_X,226,25-34,failed,1,0,1,0,2,44,6,12177.35,3,16,85,38,38,6,12177.35,Churned,0,487
